ID,price,date,postcode,prop_type,new_bldg,duration,address_1,address_2,street,locality,city,district,county,cat_type,status
"{9D18B143-B919-4F1B-A517-4AC1CDE43407}","162950","1995-12-15 00:00","HA5 2TP","D","N","F","10","","BURLINGTON CLOSE","PINNER","PINNER","HILLINGDON","GREATER LONDON","A","A"
"{9D794B30-A885-4309-BC15-4AC1D25A0B00}","66000","1995-10-31 00:00","DA5 1NU","T","N","F","1","FLAT","ALBERT ROAD","BEXLEY","BEXLEY","BEXLEY","GREATER LONDON","A","A"
"{DED9F77A-9495-4A7D-B4FE-52053882537C}","210000","1995-02-08 00:00","SE22 8UW","S","N","F","90","","DOVERCOURT ROAD","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{6D14A5A5-B484-4D24-8DA7-4736C185B657}","56500","1995-04-07 00:00","W11 1PH","F","N","L","29","FLAT 5","CORNWALL CRESCENT","LONDON","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{89BAF4D1-C567-4BDC-A0FF-D3B5E664E4D0}","99000","1995-02-27 00:00","TW7 7EW","S","Y","F","61","","BANKSIDE CLOSE","ISLEWORTH","ISLEWORTH","HOUNSLOW","GREATER LONDON","A","A"
"{3C10BBC2-7082-4930-8DA2-C922839146E3}","57500","1995-03-31 00:00","EN2 0NF","T","N","F","14","","RADCLIFFE AVENUE","ENFIELD","ENFIELD","ENFIELD","GREATER LONDON","A","A"
"{66611F1A-8264-48E6-B578-CCA40962B873}","117000","1995-08-14 00:00","TW2 6RJ","T","N","F","31","","MAY ROAD","TWICKENHAM","TWICKENHAM","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{51FCC63E-503A-4AA2-B387-CCA41BE8A2F7}","73000","1995-11-24 00:00","W3 6TP","F","Y","L","46","FLAT B","YORK ROAD","LONDON","LONDON","EALING","GREATER LONDON","A","A"
"{96B9C4D6-92F7-4453-BBF8-CCA46A294F3B}","105000","1995-02-24 00:00","EN3 7HA","S","N","F","36","","CHARCROFT GARDENS","ENFIELD","ENFIELD","ENFIELD","GREATER LONDON","A","A"
"{E77EC3ED-94D4-4CCB-B41C-C92350FFD895}","95000","1995-10-20 00:00","SW19 7AL","T","N","F","15A","","SPRINGFIELD ROAD","LONDON","LONDON","MERTON","GREATER LONDON","A","A"
"{41CD5E7D-7D61-408F-9D35-C92373BCAE75}","270000","1995-11-30 00:00","SE5 8LG","S","N","F","43","","GROVE PARK","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{8B7203C0-A7B2-4A45-BD97-D3B780F1C02B}","195000","1995-04-28 00:00","BR6 0ER","D","N","F","GARTH","","OATFIELD ROAD","ORPINGTON","ORPINGTON","BROMLEY","GREATER LONDON","A","A"
"{0E3391C3-B511-441D-8E32-D3B78FE73905}","93000","1995-06-09 00:00","CR5 2HP","D","N","F","1","","STONEYFIELD ROAD","COULSDON","COULSDON","CROYDON","GREATER LONDON","A","A"
"{5D763A83-1FBE-4EB6-BD0A-CCA524620223}","101000","1995-03-22 00:00","HA7 2EX","S","N","F","1","","WESTON DRIVE","STANMORE","STANMORE","HARROW","GREATER LONDON","A","A"
"{5C381F57-5A81-4861-9202-D02FBAE5E710}","270000","1995-01-31 00:00","NW3 7UA","T","N","L","9","","CARLTON CLOSE","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{EBAB1E9F-9D2A-43A6-86C7-D02FE86C1DD0}","92000","1995-05-25 00:00","SW11 1QD","F","N","L","32A","","COMYN ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON","A","A"
"{E45C1852-15FD-45D6-B720-91F5ECAA0EE5}","60000","1995-03-06 00:00","N21 1QE","F","N","L","14","","THE GLADE","LONDON","LONDON","ENFIELD","GREATER LONDON","A","A"
"{24BAB00E-8C3F-4646-81B0-8E645243065D}","66500","1995-09-15 00:00","SE15 3LY","T","N","F","16","","NUNHEAD GROVE","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{3639489A-69D0-4872-A19D-91F63E5CA203}","200500","1995-11-20 00:00","SE23 2QA","D","N","F","40","","SUNDERLAND ROAD","LONDON","LONDON","LEWISHAM","GREATER LONDON","A","A"
"{0F97BE9C-AE83-4B6C-8370-8E647A5A25FC}","110000","1995-01-12 00:00","TW11 0BS","S","N","F","139","","PARK ROAD","TEDDINGTON","TEDDINGTON","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{557E6D14-882E-44D2-A5A0-8AC55F07F600}","66500","1995-07-28 00:00","HA8 0DZ","S","N","F","151","","MONTROSE AVENUE","EDGWARE","EDGWARE","BARNET","GREATER LONDON","A","A"
"{9A5EDB3E-5933-4939-93FB-8E64F6C2EA9B}","183000","1995-05-30 00:00","N1 4HR","S","N","F","9","","CULFORD GROVE","LONDON","LONDON","HACKNEY","GREATER LONDON","A","A"
"{5B71326C-4F5F-48DC-BC21-91F6E807D94B}","87950","1995-11-30 00:00","SE18 4PR","F","N","L","ROBERTSON HOUSE","FLAT 5","ROYAL HERBERT PAVILIONS","LONDON","LONDON","GREENWICH","GREATER LONDON","A","A"
"{1ACF71E6-9FDB-4DC0-B7D5-91F746010EDC}","69000","1995-08-21 00:00","TW3 3SY","S","N","F","19","","WELLINGTON AVENUE","HOUNSLOW","HOUNSLOW","HOUNSLOW","GREATER LONDON","A","A"
"{1B40A6D3-0C66-413F-9D94-83B862B69E9C}","270000","1995-09-01 00:00","SW5 0DU","F","N","L","COLEHERNE COURT","FLAT 188","REDCLIFFE GARDENS","LONDON","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{6764AC70-CAF6-4F1D-B8DC-4736D61D65E0}","76000","1995-12-14 00:00","HA4 9DU","S","N","F","119","","WHITBY ROAD","RUISLIP","RUISLIP","HILLINGDON","GREATER LONDON","A","A"
